Category,Function,Manufacturer,MPN,Qty_per_unit,Two_device_buy_qty,Assembly,LCSC,Validation,Notes,Designators
Capacitor,Load switch CT,Murata,GRM1885C1H221GA01D,1,2,JLC SMT,C440180,V1-V2,220pF C0G 0603 ±2%; replaces the footprint-incompatible 0402 choice; exact LCSC match verified 2026-07-30,C33
Capacitor,Touch Cs,Murata,GRM188R71H103KA01D,1,2,JLC SMT,C77053,V1-V2,10nF X7R; exact LCSC match verified 2026-07-30,C34
Capacitor,Joystick SAADC shunt,Murata,GRM188R71H103KA01D,2,4,JLC SMT,C77053,V1-V2,10nF X7R shunt to GND per axis; exact LCSC match verified 2026-07-30,C35-C36
Mechanical,Insert,McMaster-Carr,94180A321,4,8,User,,V1,Supplier pack minimum may create excess; boss redesign required,INS1-INS4
Mechanical,Screw,TR Fastenings,TR00004792-000,4,8,User,,V1,M2.5x8 ISO 7380-1 A2 stainless; fit validation required,SCR1-SCR4
Mechanical,Silicone sheet,McMaster-Carr,8525T575,1 disc,1 sheet,User,,V1-V2,Cut two 72mm discs; 60A 1/16in sheet,FOOT1
Mechanical,Transfer adhesive,3M,467MP,1 disc,1 sheet or roll,User,,V1-V2,Cut two 72mm adhesive discs,ADH1
Fabrication,Bare PCB,JLCPCB,116x116mm 6-layer JLC06161H-3313 FR-4 ENIG 1.6mm order class,1,5 bare / 2 assembled,JLCPCB,,SPEC,Fabrication minimum may be five; populate exactly two; select epoxy-filled and capped via-in-pad plus impedance control; final Gerber archive controls,PCB1
Fabrication,Top enclosure,JLC3DP,MJF PA12 black from focalpoint-top.step,1,2,JLC3DP,,SPEC,RF-transparent polymer; final STEP controls geometry,TOP1
Fabrication,Bottom enclosure,JLC3DP,MJF PA12 black from focalpoint-bottom.step,1,2,JLC3DP,,SPEC,Final STEP controls geometry,BOTTOM1
Fabrication,Circular base,JLC3DP,MJF PA12 black from focalpoint-grommet.step,1,2,JLC3DP,,SPEC,Circular puck; silicone disc bonds underneath,BASE1
Tooling,Programming cable,Tag-Connect,TC2030-ARM2010-NL,0,1,Lab reusable,,V1,One reusable cable for both devices,TOOL1
Tooling,Debugger development kit,Nordic Semiconductor,nRF52840-DK,0,1,Lab reusable,,V1,On-board J-Link can program external targets,TOOL2
